scope,addr,name,signature,type,comment,evidence,basis
OemUsbLightBarDxe,00000290,disable_interrupts,,state,"CLI then RET, so the only effect is clearing the interrupt-enable flag: nothing is read, written or compared. 0x0000032C calls it twice, once immediately after sampling the flags with 0x000002A0 and before its first read of I/O port 0x1808, and once on the path where the sampled IF bit was already clear, which leaves interrupts off as they were.",bios/ghidra/listings/OemUsbLightBarDxe/00000290.asm; bios/decompiled/OemUsbLightBarDxe.c,hand-decoded
OemHooks,0x2A0,read_eflags,,reader,Executes PUSHFQ and returns the flags word in RAX; no memory or I/O access beyond the stack push and pop.,bios/ghidra/listings/OemHooks/000002A0.asm; bios/decompiled/OemHooks.c,hand-decoded
OemKbLightDxe,0x2A0,read_rflags,,reader,"Executes PUSHFQ and pops the result straight into RAX, so the caller receives the current RFLAGS. No memory or I/O access of its own.",bios/ghidra/listings/OemKbLightDxe/000002A0.asm; bios/decompiled/OemKbLightDxe.c,hand-decoded
OemKbLightSupportDxe,000002A0,read_rflags,,reader,"PUSHFQ followed by POP RAX, so RAX holds the 64-bit RFLAGS value on return. The decompiled C expands this into a weighted sum of individual flag bits; the listing is a single push/pop pair that returns the whole flags register unchanged. The only caller takes bit 9 (the interrupt-enable flag) from it.",bios/ghidra/listings/OemKbLightSupportDxe/000002A0.asm; bios/decompiled/OemKbLightSupportDxe.c,hand-decoded
OemServiceDxe,000002A0,zero_memory,,copy,"Zeroes the buffer at RDI (the first argument) for the length in the second argument: XORs RAX to 0, runs rep stosq for length>>3 qwords and then rep stosb for the remaining length&7 bytes. Returns the destination pointer, which the final pop recovers from the pushed RCX.",bios/ghidra/listings/OemServiceDxe/000002A0.asm; bios/decompiled/OemServiceDxe.c,hand-decoded
OemUsbLightBarDxe,000002A0,read_rflags,,reader,"PUSHFQ, POP into RAX, then RET, so it returns the current RFLAGS image in RAX and changes no processor state. 0x0000032C keeps only bit 9 of the result, the interrupt-enable flag, by shifting it right 9 and masking with 1 into BL, and holds that byte across the port-0x1808 polling loop. The decompiled C unpacks the individual flag bits as separate inputs; the listing has no such reads, only the push, the pop and the return.",bios/ghidra/listings/OemUsbLightBarDxe/000002A0.asm; bios/decompiled/OemUsbLightBarDxe.c,hand-decoded
DxeOverClock,0x000002C0,memcpy_bytes,,copy,"memcpy with one overlap case handled: destination RCX, source RDX, length R8. It compares the source against the destination and, only when the destination lies strictly inside (source, source+length-1], moves both pointers to the last byte, sets DF and copies backwards with rep movsb; otherwise it copies length>>3 qwords with rep movsq followed by length&7 bytes forwards. Returns the original destination in RAX.",bios/ghidra/listings/DxeOverClock/000002C0.asm; bios/decompiled/DxeOverClock.c,hand-decoded
OemACPIDriverDxe,0x2C0,module_entry_store_ptrs_and_scan_table,,module-entry,"The module entry point. It stores the value read at [param2+0x60] in the global 0x8D8 and the second parameter itself in 0x8D0, clears 0x8E0, and when the count at [param2+0x68] is non-zero walks the array at [param2+0x70] in 0x18-byte steps, comparing the first 16 bytes of each entry against the 16 bytes at 0x880/0x888 and storing the third qword of the first match ([entry+0x10]) in 0x8E0. It then calls 0x334 with (param1, param2) and returns without writing RAX. Each entry is a 16-byte tag followed by a pointer, but the tag itself and the structure param2 points at are not decoded here, and the offsets this listing uses for the count and the array do not match a standard EFI_SYSTEM_TABLE layout.",bios/ghidra/listings/OemACPIDriverDxe/000002C0.asm; bios/decompiled/OemACPIDriverDxe.c,hand-decoded
OemACRecoveryDxe,0x2C0,dxe_module_entry,,module-entry,"The module entry point; its two arguments are passed through unchanged. It copies its second argument to the global 0x5F0 and the qword at [RDX+0x60] to 0x5F8, calls the module's only other function at 0x2E0, and returns without writing RAX, so no status is propagated. In the standard DXE entry convention the second argument is the EFI_SYSTEM_TABLE, where offset 0x60 is BootServices and 0x58 is RuntimeServices, but the listing itself only shows the two offsets; neither global written here is read again, since the module holds just these two functions and 0x2E0 works through 0x600 and 0x608 instead.",bios/ghidra/listings/OemACRecoveryDxe/000002C0.asm; bios/decompiled/OemACRecoveryDxe.c,hand-decoded
OemApControlDxe,0x2C0,cpu_pause,,delay,A single PAUSE followed by RET: it is the body of the busy-wait loops in 0x0000032c and 0x00000b7c. It reads and writes nothing and returns whatever the caller left in RAX.,bios/ghidra/listings/OemApControlDxe/000002C0.asm; bios/decompiled/OemApControlDxe.c,hand-decoded
OemDDSSupportDxe,000002C0,cpu_pause,,delay,"A single PAUSE instruction followed by RET: a spin-wait hint helper, called from the polling loops at 0x32c and 0xadc.",bios/ghidra/listings/OemDDSSupportDxe/000002C0.asm; bios/decompiled/OemDDSSupportDxe.c,hand-decoded
OemDisplayModeDxe,0x2C0,cpu_pause,,delay,"Executes the single x86 PAUSE instruction (F3 90) and returns. It reads and writes no memory and no port and produces no result, which is why the decompiler's body is an empty void.",bios/ghidra/listings/OemDisplayModeDxe/000002C0.asm; bios/decompiled/OemDisplayModeDxe.c,hand-decoded
OemI2cDevices,000002C0,cpu_pause,,delay,"Single PAUSE instruction followed by RET. It touches no memory and no I/O port; the call sites use it as the body of a poll loop, not as a delay on its own.",bios/ghidra/listings/OemI2cDevices/000002C0.asm; bios/decompiled/OemI2cDevices.c,hand-decoded
OemManufactureModeDxe,0x2C0,cpu_pause,,logic,"The entire function is the one-byte opcode f3 90 (pause) followed by ret: a spin-wait relax that touches no register or memory. It is called from the two poll loops in this module, at 0x3BB inside the search function and at 0x883 inside the tick wait, in both cases as the body of the loop that re-reads I/O port 0x1808.",bios/ghidra/listings/OemManufactureModeDxe/000002C0.asm; bios/decompiled/OemManufactureModeDxe.c,hand-decoded
OemNetworkDxe,0x2C0,cpu_pause,,delay,"Two instructions: PAUSE then RET, with no register, memory or I/O access and no effect on flags. The only call site in the module is the spin loop at 0x3BB in 0x32C, where each iteration re-reads I/O port 0x1808 before returning here.",bios/ghidra/listings/OemNetworkDxe/000002C0.asm; bios/decompiled/OemNetworkDxe.c,hand-decoded
OemOcDxe,0x2C0,cpu_pause,,delay,A single PAUSE followed by RET. It reads and writes nothing and returns whatever the caller left in RAX; in this module it is the body of the two spin loops at 0x0000047b and 0x0000109f.,bios/ghidra/listings/OemOcDxe/000002C0.asm; bios/decompiled/OemOcDxe.c,hand-decoded
OemPowerModeDxe,0x2C0,cpu_pause,,delay,"Two bytes: a single PAUSE followed by RET. It is the body of the spin loops at 0x00000417 in 0x00000388 and at 0x000009d7 in 0x000009a4, so the wait it serves is timed from the counter at I/O port 0x1808. It reads and writes nothing and returns whatever the caller left in RAX.",bios/ghidra/listings/OemPowerModeDxe/000002C0.asm; bios/decompiled/OemPowerModeDxe.c,hand-decoded
OemQkeyDxe,000002C0,cpu_pause,,delay,"Two bytes: a single PAUSE followed by RET. It is the body of the two spin loops that wait on the counter at I/O port 0x1808: the one inline in 0x0000032c, called at 0x000003bb, and the one in 0x000009c8, called at 0x000009fb. It reads and writes nothing and returns whatever the caller left in RAX.",bios/ghidra/listings/OemQkeyDxe/000002C0.asm; bios/decompiled/OemQkeyDxe.c,hand-decoded
OemSWBoardIDDxe,000002C0,cpu_pause,,delay,Two instructions: PAUSE then RET. It reads and writes nothing and exists to be called from the two busy-wait loops in this module (0x32C and 0x830) as a spin-loop hint.,bios/ghidra/listings/OemSWBoardIDDxe/000002C0.asm; bios/decompiled/OemSWBoardIDDxe.c,hand-decoded
OemServiceDxe,000002C0,copy_memory,,copy,"memmove: copies the third argument's byte count from RSI to RDI. It copies forward with rep movsq when the source begins at or above the destination, and when the source is below the destination but the destination lies inside the source range it sets DF (std) and walks backward; the trailing count&7 bytes always go through rep movsb and cld restores DF. Returns the destination pointer in RAX.",bios/ghidra/listings/OemServiceDxe/000002C0.asm; bios/decompiled/OemServiceDxe.c,hand-decoded
OemTurboModeDxe,0x2C0,cpu_pause,,delay,"A single PAUSE instruction and a return, with no memory or port access of its own. It is the body of the spin loops at 0x417 and 0x8DF, entered while a counter read from I/O port 0x1808 has not yet passed the target those loops are waiting for.",bios/ghidra/listings/OemTurboModeDxe/000002C0.asm; bios/decompiled/OemTurboModeDxe.c,hand-decoded
OemUniWillVariableDxe,000002C0,cpu_pause,,delay,"A single PAUSE instruction followed by RET. It is the body of the spin loop at 0x3D7 in the routine at 0x348 and of the loop at 0x987 in the routine at 0x954, and has no other effect.",bios/ghidra/listings/OemUniWillVariableDxe/000002C0.asm; bios/decompiled/OemUniWillVariableDxe.c,hand-decoded
OemVariableHookDxe,0x2C0,cpu_pause,,delay,"A single PAUSE followed by RET: it is the whole body of the busy-wait loop entered at 0x3BB in 0x32C, where it is called once per pass. It reads and writes nothing and returns whatever the caller left in RAX.",bios/ghidra/listings/OemVariableHookDxe/000002C0.asm; bios/decompiled/OemVariableHookDxe.c,hand-decoded
Setup,0x000002C0,memcmp_bytes,,logic,"memcmp: the first buffer in RCX, the second in RDX and the length in R8. It copies them into RSI and RDI, loads the length into RCX and runs cmpsb.repe, then returns the zero-extended bytes at the stopping position subtracted from each other, [RSI-1] minus [RDI-1], i.e. first argument minus second. The result is a raw byte difference, not a normalised -1/0/1, and a length of zero leaves RSI and RDI where the two copies put them.",bios/ghidra/listings/Setup/000002C0.asm; bios/decompiled/Setup.c,hand-decoded
OemApControlDxe,0x2D0,read_timestamp_counter,,state,"Executes RDTSC, shifts EDX left 32 bits and ORs it into RAX, returning the full 64-bit timestamp counter. Its two call sites in 0x0000032c discard the result, so within this module it only serves as a serialising instruction; the wait is timed from the counter at I/O port 0x1808 instead.",bios/ghidra/listings/OemApControlDxe/000002D0.asm; bios/decompiled/OemApControlDxe.c,hand-decoded
OemDDSSupportDxe,000002D0,read_tsc,,reader,"Executes RDTSC, shifts the EDX half left by 32 and ORs it into RAX, so it returns the full 64-bit time-stamp counter value in RAX. The two call sites in 0x32c discard the result. The decompiled C's CONCAT44 expression is not what these instructions do.",bios/ghidra/listings/OemDDSSupportDxe/000002D0.asm; bios/decompiled/OemDDSSupportDxe.c,hand-decoded
OemDisplayModeDxe,0x2D0,read_timestamp_counter,,reader,"RDTSC, then shl RDX,0x20, or RAX,RDX, then ret: returns the 64-bit time-stamp counter, the low half out of EAX and the high half out of EDX, joined in RAX. Nothing is masked and no serialising instruction surrounds the read. The decompiler's CONCAT44 expression is this same join of the two registers.",bios/ghidra/listings/OemDisplayModeDxe/000002D0.asm; bios/decompiled/OemDisplayModeDxe.c,hand-decoded
OemI2cDevices,000002D0,read_tsc,,reader,"Executes RDTSC, shifts EDX left by 0x20 and ORs it into RAX, so the function returns the 64-bit timestamp counter as (EDX:32 << 32) | EAX. RDX is overwritten, no memory is read or written.",bios/ghidra/listings/OemI2cDevices/000002D0.asm; bios/decompiled/OemI2cDevices.c,hand-decoded
OemManufactureModeDxe,0x2D0,read_tsc,,reader,"Executes rdtsc, then shl RDX,0x20 and or RAX,RDX, so it returns the 64-bit time-stamp counter (RAX = low 32, RDX = high 32) with no memory access. The decompiler's CONCAT44 expression is its reading of those two instructions. Both call sites (0x3B4 and 0x3D4 in 0x32C) discard the returned value; what the call is for is not established by these instructions.",bios/ghidra/listings/OemManufactureModeDxe/000002D0.asm; bios/decompiled/OemManufactureModeDxe.c,hand-decoded
OemNetworkDxe,0x2D0,read_timestamp_counter,,reader,"Executes RDTSC, shifts RDX left by 32 and ORs it into RAX, so it returns the 64-bit time-stamp counter and touches nothing else. 0x32C calls it twice: once after the first read of port 0x1808 and once after the polling loop exits; both return values are discarded.",bios/ghidra/listings/OemNetworkDxe/000002D0.asm; bios/decompiled/OemNetworkDxe.c,hand-decoded
OemOcDxe,0x2D0,read_timestamp_counter,,state,"Executes RDTSC, shifts EDX left 32 bits and ORs it into RAX, returning the full 64-bit timestamp counter; no serialising instruction precedes it. Both call sites (0x00000474 and 0x00000494) discard the result, so here it serves only as a serialising instruction - the waits are timed from the counter at I/O port 0x1808 instead.",bios/ghidra/listings/OemOcDxe/000002D0.asm; bios/decompiled/OemOcDxe.c,hand-decoded
OemPowerModeDxe,0x2D0,read_timestamp_counter,,state,"Executes RDTSC, shifts EDX left 32 bits and ORs it into RAX, returning the full 64-bit counter. Its two call sites, at 0x00000410 and 0x00000430 in 0x00000388, discard the result, so here it serves only as a serialising instruction; the wait it accompanies is timed from the counter at I/O port 0x1808 instead.",bios/ghidra/listings/OemPowerModeDxe/000002D0.asm; bios/decompiled/OemPowerModeDxe.c,hand-decoded
OemQkeyDxe,000002D0,read_timestamp_counter,,reader,"Executes RDTSC, shifts EDX left by 0x20 and ORs it into RAX, so RAX holds the 64-bit timestamp counter on return. Both call sites, at 0x000003b4 and 0x000003d4 in 0x0000032c, discard the value, so here it serves only as a serialising instruction; the wait it accompanies is timed from the counter at I/O port 0x1808 instead.",bios/ghidra/listings/OemQkeyDxe/000002D0.asm; bios/decompiled/OemQkeyDxe.c,hand-decoded
OemSWBoardIDDxe,000002D0,read_timestamp_counter,,state,"Executes RDTSC, shifts RDX left by 32 and ORs it into RAX, returning the full 64-bit counter in RAX. Both call sites (0x32C) discard the value, so within this module it only acts as a serialising instruction; every wait it brackets is timed from the counter at I/O port 0x1808 instead.",bios/ghidra/listings/OemSWBoardIDDxe/000002D0.asm; bios/decompiled/OemSWBoardIDDxe.c,hand-decoded
OemTurboModeDxe,0x2D0,read_timestamp_counter,,reader,"Executes RDTSC, shifts EDX left by 32 and ORs it into RAX, so RAX holds the full 64-bit timestamp counter on return. Both call sites, at 0x410 and 0x430 inside the routine at 0x388, discard the value; no other routine in the module calls it.",bios/ghidra/listings/OemTurboModeDxe/000002D0.asm; bios/decompiled/OemTurboModeDxe.c,hand-decoded
OemUniWillVariableDxe,000002D0,read_timestamp_counter,,state,"Executes RDTSC, shifts RDX left by 32 and ORs it into RAX, so RAX holds the 64-bit timestamp counter on return and RDX is clobbered. Both call sites in this module (0x3D0 and 0x3F0, both in the routine at 0x348) discard the value.",bios/ghidra/listings/OemUniWillVariableDxe/000002D0.asm; bios/decompiled/OemUniWillVariableDxe.c,hand-decoded
OemVariableHookDxe,0x2D0,read_timestamp_counter,,state,"Executes RDTSC, shifts EDX left by 32 and ORs it into RAX, returning the full 64-bit timestamp counter. Both call sites in 0x32C (0x3B4 and 0x3D4) discard the result, so within this module it acts only as a serialising instruction; the waits are timed from the counter at I/O port 0x1808 instead.",bios/ghidra/listings/OemVariableHookDxe/000002D0.asm; bios/decompiled/OemVariableHookDxe.c,hand-decoded
OemApControlDxe,0x2E0,enable_interrupts,,state,"A single STI followed by RET, called from 0x0000032c to restore the interrupt-enable flag that 0x00000300 sampled before the 0x1808 delay loop, and only on the path where that flag was set.",bios/ghidra/listings/OemApControlDxe/000002E0.asm; bios/decompiled/OemApControlDxe.c,hand-decoded
OemDDSSupportDxe,000002E0,enable_interrupts,,gate,"Two bytes: STI then RET, which enables maskable interrupt delivery for the caller.",bios/ghidra/listings/OemDDSSupportDxe/000002E0.asm; bios/decompiled/OemDDSSupportDxe.c,hand-decoded
OemDisplayModeDxe,0x2E0,enable_interrupts,,state,"Executes STI and returns, so the interrupt-enable flag is set and nothing else is changed. It reads and writes no memory and no port, and the decompiler's empty body is complete.",bios/ghidra/listings/OemDisplayModeDxe/000002E0.asm; bios/decompiled/OemDisplayModeDxe.c,hand-decoded
OemGlobalNvsDxe,0x2E0,cpu_pause,,delay,Executes a single PAUSE instruction and returns.,bios/ghidra/listings/OemGlobalNvsDxe/000002E0.asm; bios/decompiled/OemGlobalNvsDxe.c,hand-decoded
OemI2cDevices,000002E0,enable_interrupts,,state,Two instructions: STI then RET. Its only effect is to set the interrupt-enable flag in RFLAGS; it saves no register and clears nothing.,bios/ghidra/listings/OemI2cDevices/000002E0.asm; bios/decompiled/OemI2cDevices.c,hand-decoded
OemManufactureModeDxe,0x2E0,enable_interrupts,,logic,"A single sti then ret: sets the interrupt-enable flag (RFLAGS bit 9) and returns, with no register or memory operand and no way to report anything. Its only caller is 0x32C, which calls it only when the IF bit it saved through 0x300 was set, i.e. it puts interrupts back the way it found them.",bios/ghidra/listings/OemManufactureModeDxe/000002E0.asm; bios/decompiled/OemManufactureModeDxe.c,hand-decoded
OemNetworkDxe,0x2E0,enable_interrupts,,state,"Executes STI then RET, so the only effect is setting the interrupt-enable flag; no flag or register is examined and no memory or I/O is touched. It is called once, from 0x3DD in 0x32C, on the branch taken when the IF bit that 0x300 captured before the port-0x1808 loop was set, so it restores the interrupt state that existed on entry.",bios/ghidra/listings/OemNetworkDxe/000002E0.asm; bios/decompiled/OemNetworkDxe.c,hand-decoded
OemOcDxe,0x2E0,enable_interrupts,,state,"A single STI followed by RET. 0x000003ec calls it on the branch where the interrupt-enable flag it sampled through 0x00000300 was set, putting that flag back after the port-0x1808 delay loop.",bios/ghidra/listings/OemOcDxe/000002E0.asm; bios/decompiled/OemOcDxe.c,hand-decoded
OemPowerModeDxe,0x2E0,enable_interrupts,,state,"A single STI followed by RET. 0x00000388 calls it at 0x00000439 on the path where the bit it sampled through 0x00000300 before CLI was set, restoring the interrupt-enable state it had taken.",bios/ghidra/listings/OemPowerModeDxe/000002E0.asm; bios/decompiled/OemPowerModeDxe.c,hand-decoded
OemQkeyDxe,000002E0,enable_interrupts,,state,"Two instructions: STI then RET, whose only effect is to set the interrupt-enable flag in RFLAGS. 0x0000032c calls it at 0x000003dd on the path where the bit it sampled through 0x00000300 before the CLI at 0x0000039b was set.",bios/ghidra/listings/OemQkeyDxe/000002E0.asm; bios/decompiled/OemQkeyDxe.c,hand-decoded
OemSWBoardIDDxe,000002E0,enable_interrupts,,state,"Executes STI then RET, setting the interrupt-enable flag unconditionally. Its one caller (0x32C) calls it only after having tested the IF bit it saved via 0x300.",bios/ghidra/listings/OemSWBoardIDDxe/000002E0.asm; bios/decompiled/OemSWBoardIDDxe.c,hand-decoded
OemTurboModeDxe,0x2E0,enable_interrupts,,state,"A single STI and a return, which sets the interrupt-enable flag if it was clear. The only caller, the routine at 0x388, calls it solely when bit 9 of the flags it read beforehand was set, so it puts that state back.",bios/ghidra/listings/OemTurboModeDxe/000002E0.asm; bios/decompiled/OemTurboModeDxe.c,hand-decoded
OemUniWillVariableDxe,000002E0,enable_interrupts,,state,"STI followed by RET. Its only caller is 0x3F9 in the routine at 0x348, reached when bit 9 (the interrupt-enable flag) of the flags saved at 0x3AF was set, so interrupts are put back as they were found.",bios/ghidra/listings/OemUniWillVariableDxe/000002E0.asm; bios/decompiled/OemUniWillVariableDxe.c,hand-decoded
OemVariableHookDxe,0x2E0,enable_interrupts,,state,"A single STI followed by RET, setting the interrupt-enable flag unconditionally. Its only caller is 0x3DD in 0x32C, on the path where the flag sampled by 0x300 before the port-0x1808 loop was set.",bios/ghidra/listings/OemVariableHookDxe/000002E0.asm; bios/decompiled/OemVariableHookDxe.c,hand-decoded
Setup,0x000002E0,memmove_bytes_02e0,,copy,"memmove: destination RCX, source RDX, length R8. It forms src+len-1 in R9 and takes the backward path - both pointers moved to their last bytes, DF set, movsb.rep, DF cleared again - only when the source is below the destination and the destination is at or before src+len-1; every other case copies length>>3 qwords with rep movsq and then length&7 bytes with rep movsb. The original destination is loaded into RAX at 0x2f0, before the branch, and is what the function returns.",bios/ghidra/listings/Setup/000002E0.asm; bios/decompiled/Setup.c,hand-decoded
