scope,addr,group,group_basis,comment,evidence
bank0,0x197E,bank-switch-trampolines,type,the `type` column already names this family,ec/decompiled/bank0/197E.asm; ec/decompiled/bank0/197E.c
bank0,0x2A6C,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/2A6C.asm; ec/decompiled/bank0/2A6C.c
bank0,0x2BD5,dispatch-tables,type,the `type` column already names this family,ec/decompiled/bank0/2BD5.asm; ec/decompiled/bank0/2BD5.c
bank0,0x397D,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/397D.asm; ec/decompiled/bank0/397D.c
bank0,0x3A60,dispatch-tables,type,the `type` column already names this family,ec/decompiled/bank0/3A60.asm; ec/decompiled/bank0/3A60.c
bank0,0x3AD6,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/3AD6.asm; ec/decompiled/bank0/3AD6.c
bank0,0x445E,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/445E.asm; ec/decompiled/bank0/445E.c
bank0,0x4777,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/4777.asm; ec/decompiled/bank0/4777.c
bank0,0x4B1F,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/4B1F.asm; ec/decompiled/bank0/4B1F.c
bank0,0x530E,dispatch-tables,type,the `type` column already names this family,ec/decompiled/bank0/530E.asm; ec/decompiled/bank0/530E.c
bank0,0x5349,dispatch-tables,type,the `type` column already names this family,ec/decompiled/bank0/5349.asm; ec/decompiled/bank0/5349.c
bank0,0x537F,dispatch-tables,type,the `type` column already names this family,ec/decompiled/bank0/537F.asm; ec/decompiled/bank0/537F.c
bank0,0x53AF,dispatch-tables,type,the `type` column already names this family,ec/decompiled/bank0/53AF.asm; ec/decompiled/bank0/53AF.c
bank0,0x541D,dispatch-tables,type,the `type` column already names this family,ec/decompiled/bank0/541D.asm; ec/decompiled/bank0/541D.c
bank0,0x549B,dispatch-tables,type,the `type` column already names this family,ec/decompiled/bank0/549B.asm; ec/decompiled/bank0/549B.c
bank0,0x54C2,dispatch-tables,type,the `type` column already names this family,ec/decompiled/bank0/54C2.asm; ec/decompiled/bank0/54C2.c
bank0,0x703D,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/703D.asm; ec/decompiled/bank0/703D.c
bank0,0x7049,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/7049.asm; ec/decompiled/bank0/7049.c
bank0,0x705B,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/705B.asm; ec/decompiled/bank0/705B.c
bank0,0x724B,arithmetic,type,the `type` column already names this family,ec/decompiled/bank0/724B.asm; ec/decompiled/bank0/724B.c
bank0,0x8000,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/8000.asm; ec/decompiled/bank0/8000.c
bank0,0x8016,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/8016.asm; ec/decompiled/bank0/8016.c
bank0,0x801D,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/801D.asm; ec/decompiled/bank0/801D.c
bank0,0x801F,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/801F.asm; ec/decompiled/bank0/801F.c
bank0,0x8020,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/8020.asm; ec/decompiled/bank0/8020.c
bank0,0x8026,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/8026.asm; ec/decompiled/bank0/8026.c
bank0,0x8038,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/8038.asm; ec/decompiled/bank0/8038.c
bank0,0x8044,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/8044.asm; ec/decompiled/bank0/8044.c
bank0,0x8048,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/8048.asm; ec/decompiled/bank0/8048.c
bank0,0x8054,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/annotations/bank-call-audit.md
bank0,0x806C,callgraph_bank0_806C,callgraph,"One of 5 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/806C.asm; ec/decompiled/bank0/806C.c
bank0,0x8094,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/annotations/bank-call-audit.md
bank0,0x80D7,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/annotations/bank-call-audit.md
bank0,0x811A,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/annotations/bank-call-audit.md
bank0,0x815D,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/annotations/bank-call-audit.md
bank0,0x819D,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/annotations/bank-call-audit.md
bank0,0x81DF,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/annotations/bank-call-audit.md
bank0,0x821F,callgraph_bank0_806C,callgraph,"One of 5 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/annotations/bank-call-audit.md
bank0,0x8274,dispatch-tables,type,the `type` column already names this family,ec/annotations/bank-call-audit.md
bank0,0x8398,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/8398.asm; ec/decompiled/bank0/8398.c
bank0,0x83D6,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/83D6.asm; ec/decompiled/bank0/83D6.c
bank0,0x83FF,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/83FF.asm; ec/decompiled/bank0/83FF.c; ec/annotations/registers.yaml
bank0,0x849C,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/849C.asm; ec/decompiled/bank0/849C.c
bank0,0x8648,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/8648.asm; ec/decompiled/bank0/8648.c
bank0,0x8653,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/annotations/manual-fan-ctrl-0751.md
bank0,0x8749,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/8749.asm; ec/decompiled/bank0/8749.c; ec/annotations/registers.yaml
bank0,0x888D,dispatch-tables,type,the `type` column already names this family,ec/annotations/manual-fan-ctrl-0751.md
bank0,0x8939,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/8939.asm; ec/decompiled/bank0/8939.c
bank0,0x893E,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/893E.asm; ec/decompiled/bank0/893E.c
bank0,0x8C46,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/8C46.asm; ec/decompiled/bank0/8C46.c; ec/annotations/registers.yaml
bank0,0x8DE0,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/8DE0.asm; ec/decompiled/bank0/8DE0.c; ec/annotations/registers.yaml
bank0,0x8F03,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/8F03.asm; ec/decompiled/bank0/8F03.c
bank0,0x8F09,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/8F09.asm; ec/decompiled/bank0/8F09.c
bank0,0x8F0E,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/8F0E.asm; ec/decompiled/bank0/8F0E.c
bank0,0x8F0F,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/8F0F.asm; ec/decompiled/bank0/8F0F.c
bank0,0x8F20,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/8F20.asm; ec/decompiled/bank0/8F20.c
bank0,0x8FDB,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/8FDB.asm; ec/decompiled/bank0/8FDB.c
bank0,0x9000,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/9000.asm; ec/decompiled/bank0/9000.c
bank0,0x9006,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/9006.asm; ec/decompiled/bank0/9006.c
bank0,0x9007,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/9007.asm; ec/decompiled/bank0/9007.c
bank0,0x900D,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/900D.asm; ec/decompiled/bank0/900D.c
bank0,0x9015,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/9015.asm; ec/decompiled/bank0/9015.c
bank0,0x9016,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/9016.asm; ec/decompiled/bank0/9016.c
bank0,0x9018,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/9018.asm; ec/decompiled/bank0/9018.c
bank0,0x901C,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/901C.asm; ec/decompiled/bank0/901C.c
bank0,0x902A,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/902A.asm; ec/decompiled/bank0/902A.c
bank0,0x9040,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/9040.asm; ec/decompiled/bank0/9040.c
bank0,0x9041,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/9041.asm; ec/decompiled/bank0/9041.c
bank0,0x9049,callgraph_bank0_9049,callgraph,"One of 4 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/9049.asm; ec/decompiled/bank0/9049.c
bank0,0x909B,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/909B.asm; ec/decompiled/bank0/909B.c; ec/annotations/registers.yaml
bank0,0x90FE,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/90FE.asm; ec/decompiled/bank0/90FE.c; ec/annotations/registers.yaml
bank0,0x9167,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/9167.asm; ec/decompiled/bank0/9167.c
bank0,0x91C5,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/91C5.asm; ec/decompiled/bank0/91C5.c
bank0,0x924B,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/924B.asm; ec/decompiled/bank0/924B.c
bank0,0x924C,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/924C.asm; ec/decompiled/bank0/924C.c; ec/annotations/registers.yaml
bank0,0x9334,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/9334.asm; ec/decompiled/bank0/9334.c; ec/annotations/registers.yaml
bank0,0x93FE,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/93FE.asm; ec/decompiled/bank0/93FE.c
bank0,0x93FF,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/93FF.asm; ec/decompiled/bank0/93FF.c; ec/annotations/registers.yaml
bank0,0x948D,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/948D.asm; ec/decompiled/bank0/948D.c; ec/annotations/registers.yaml
bank0,0x94AF,ungrouped,ungrouped,No typed seed and no connected component at or above the minimum size. Not found by this method.,ec/decompiled/bank0/94AF.asm; ec/decompiled/bank0/94AF.c
bank0,0x94C0,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/94C0.asm; ec/decompiled/bank0/94C0.c
bank0,0x94D0,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/94D0.asm; ec/decompiled/bank0/94D0.c; ec/annotations/registers.yaml
bank0,0x95DD,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/95DD.asm; ec/decompiled/bank0/95DD.c; ec/annotations/registers.yaml
bank0,0x96AD,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/96AD.asm; ec/decompiled/bank0/96AD.c; ec/annotations/registers.yaml
bank0,0x98FB,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/98FB.asm; ec/decompiled/bank0/98FB.c; ec/annotations/registers.yaml
bank0,0x9902,arithmetic,type,the `type` column already names this family,ec/decompiled/bank0/9902.asm; ec/decompiled/bank0/9902.c
bank0,0x9917,dispatch-tables,type,the `type` column already names this family,ec/decompiled/bank0/9917.asm; ec/decompiled/bank0/9917.c
bank0,0x99A7,arithmetic,type,the `type` column already names this family,ec/decompiled/bank0/99A7.asm; ec/decompiled/bank0/99A7.c
bank0,0x99ED,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/99ED.asm; ec/decompiled/bank0/99ED.c
bank0,0x9A00,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/9A00.asm; ec/decompiled/bank0/9A00.c
bank0,0x9A0E,arithmetic,type,the `type` column already names this family,ec/decompiled/bank0/9A0E.asm; ec/decompiled/bank0/9A0E.c; ec/annotations/registers.yaml
bank0,0x9A7B,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/9A7B.asm; ec/decompiled/bank0/9A7B.c
bank0,0x9A86,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/9A86.asm; ec/decompiled/bank0/9A86.c; ec/annotations/registers.yaml
bank0,0x9A90,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/9A90.asm; ec/decompiled/bank0/9A90.c
bank0,0x9A9C,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/9A9C.asm; ec/decompiled/bank0/9A9C.c; ec/annotations/registers.yaml
bank0,0x9BFD,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/9BFD.asm; ec/decompiled/bank0/9BFD.c
bank0,0x9C00,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/9C00.asm; ec/decompiled/bank0/9C00.c; ec/annotations/registers.yaml
bank0,0x9C1D,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/9C1D.asm; ec/decompiled/bank0/9C1D.c
bank0,0x9C24,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/9C24.asm; ec/decompiled/bank0/9C24.c
bank0,0x9CA6,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/9CA6.asm; ec/decompiled/bank0/9CA6.c; ec/annotations/registers.yaml
bank0,0x9D9A,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/9D9A.asm; ec/decompiled/bank0/9D9A.c
bank0,0xA169,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/A169.asm; ec/decompiled/bank0/A169.c
bank0,0xA172,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/A172.asm; ec/decompiled/bank0/A172.c
bank0,0xA1A8,callgraph_bank0_0EA2,callgraph,"One of 408 mutually reachable functions in the lcall/ljmp graph of the committed listings, within one region only; a cross-region edge is never joined (see audit_call_targets.py). A connected component is not a subsystem: this says the call graph connects them, not that they do one job.",ec/decompiled/bank0/A1A8.asm; ec/decompiled/bank0/A1A8.c; ec/annotations/registers.yaml
bank0,0xA1C8,dispatch-tables,type,the `type` column already names this family,ec/decompiled/bank0/A1C8.asm; ec/decompiled/bank0/A1C8.c; ec/annotations/registers.yaml
