cluster_id,program,size,refs,addrs,addr_range,functions_touched,shared_functions,callees,named_addrs
main-ec-011,main-ec,10,91,0x0875 0x089C 0x089D 0x089E 0x089F 0x08A1 0x08A2 0x08EB 0x09E6 0x09E7,0x0875-0x09E7,20,bank0:0xB5D3=FUN_CODE_b5d3; bank0:0xB4A8=FUN_CODE_b4a8; bank0:0xB5B2=clear_08eb_bit5_09e6_09e7_08a1_089c_089d [writer]; bank0:0xB716=clear_08eb_bit3_09e6_09e7_08a2_089e_089f [writer]; bank1:0xA916=clamp_078b_level_into_0804 [state]; bank0:0xB5CC=store_a_to_089c_and_089d [writer]; bank0:0xB730=store_a_to_089e_and_089f [writer],bank0:0xB9D8 [4/20]; bank0:0x8B14 [3/20]; bank0:0xBDE6 [3/20] (+88 more called by the cluster's functions),0x089E 0x089F 0x08A2 0x08EB 0x09E6 0x09E7
main-ec-012,main-ec,9,36,0x0300 0x0308 0x036D 0x03A8 0x03AB 0x03CA 0x03CB 0x03FB 0x03FE,0x0300-0x03FE,5,bank1:0xC751=zero_0300_03ff_then_set_3fe_3a8_3fb [writer]; bank1:0xD37F=scan_table_03de_down_stride2 [logic]; bank1:0xD472=store_r1_to_0514_03ab_if_gap_ok [writer]; bank1:0xD5E1=FUN_CODE_d5e1; bank1:0xE781=countdown_03a8_gated_by_0490_bit1 [state],bank1:0x8886 [2/5]; bank1:0xCBF3 [2/5]; bank1:0xA5E6 [1/5] (+4 more called by the cluster's functions),
main-ec-013,main-ec,9,26,0x0027 0x0028 0x00FA 0x00FB 0x00FC 0x00FF 0x098D 0x098E 0x098F,0x0027-0x098F,3,common:0x1059=FUN_CODE_1059; bank0:0xC8C5=select_0027_0028_from_five_probes [logic],bank0:0xB8C0 [1/3]; bank0:0xB8CD [1/3]; bank0:0xB8E7 [1/3] (+11 more called by the cluster's functions),
main-ec-014,main-ec,9,9,0x105A 0x105B 0x105C 0x105D 0x105E 0x1076 0x1077 0x1078 0x1079,0x105A-0x1079,1,bank0:0xDBE2=write_consts_105a_105e_1076_1079 [init],,
main-ec-015,main-ec,9,9,0x1100 0x1101 0x1103 0x1114 0x1118 0x111C 0x1120 0x1124 0x1128,0x1100-0x1128,1,common:0x0609=FUN_CODE_0609,common:0x05EF [1/1],
main-ec-016,main-ec,8,97,0x045D 0x06C0 0x0704 0x0756 0x0757 0x0845 0x097F 0x0980,0x045D-0x0980,13,bank1:0x8AE5=probe_159a_19f0_0983_then_dispatch [dispatch]; bank1:0x8B01=load_dptr_097f [reader]; bank1:0x8B04=countdown_06c0_latch_097f_bit0 [state]; bank0:0xDD3D=store_0d32_to_045d_0704 [writer]; bank1:0x8CEC=gate_then_copy_2200_to_075f [gate]; bank1:0x94FA=magic_55aa_and_0704_countdown [state]; bank1:0x95AE=copy_045d_to_0704 [copy]; bank1:0xA389=decrement_0980_then_run_19b4_198a [state]; bank1:0xA9B4=step_state_0845 [state]; bank1:0xAA39=step_counters_0756_0757 [state],bank1:0x8B8F [5/13]; bank1:0x198A [5/13]; bank1:0x1762 [5/13] (+28 more called by the cluster's functions),0x045D
main-ec-017,main-ec,8,46,0x0458 0x0620 0x0626 0x0627 0x0628 0x068A 0x0894 0x0895,0x0458-0x0895,10,bank1:0x8DE4=dispatch_on_0490_0495_0496_0498 [dispatch]; bank1:0x8E91=dispatch_on_049d_049e_05e0 [dispatch]; bank1:0x8ECC=select_r4_from_cpu_temp_and_0620_0626 [dispatch]; bank1:0x9202=step_0628_nibble_against_92dc_table [logic]; bank1:0x9416=adjust_0627_index_against_gpu_temp [state],bank1:0x8F37 [3/10]; bank1:0x8E3B [3/10]; bank1:0x8ECC [2/10] (+10 more called by the cluster's functions),0x0458
main-ec-018,main-ec,8,11,0x0730 0x0731 0x0732 0x0737 0x07A7 0x07A8 0x07A9 0x07AA,0x0730-0x07AA,1,bank0:0x94D0=copy_code_table_into_0730_07a7 [copy],bank0:0x9A0D [1/1]; bank0:0x95DD [1/1]; bank0:0xBEC8 [1/1] (+5 more called by the cluster's functions),0x0730 0x0731 0x0732 0x0737 0x07A7 0x07A8 0x07A9 0x07AA
main-ec-019,main-ec,7,144,0x1654 0x1655 0x1656 0x1657 0x1900 0x1901 0x1902,0x1654-0x1902,27,bank0:0x8000=clear_1654_block_load_1900 [writer]; common:0x7401=FUN_CODE_7401; common:0x7404=FUN_CODE_7404; common:0x7405=FUN_CODE_7405; common:0x7408=FUN_CODE_7408; common:0x7410=FUN_CODE_7410; common:0x741C=FUN_CODE_741c; common:0x7602=FUN_CODE_7602; common:0x7848=FUN_CODE_7848; common:0x7883=FUN_CODE_7883; common:0x7BFF=FUN_CODE_7bff; common:0x7C02=FUN_CODE_7c02; common:0x7DF2=FUN_CODE_7df2; common:0x7E01=FUN_CODE_7e01; common:0x7F01=FUN_CODE_7f01; common:0x7F02=FUN_CODE_7f02; common:0x7FF1=FUN_CODE_7ff1; common:0x7FFF=FUN_CODE_7fff; bank0:0x8016=write_1900_twice_set_1901 [writer]; bank0:0xBAFD=store_a_then_set_bits_1_and_0_of_1900 [writer],bank0:0xBCB6 [22/27]; bank0:0x708F [1/27]; common:0x70E4 [1/27] (+7 more called by the cluster's functions),
main-ec-020,main-ec,7,98,0x0026 0x0DB0 0x0DB1 0x0DB2 0x1D00 0x1D01 0x1D04,0x0026-0x1D04,14,common:0x223F=FUN_CODE_223f; common:0x2275=FUN_CODE_2275; common:0x2290=FUN_CODE_2290; common:0x22EF=FUN_CODE_22ef; common:0x23F4=FUN_CODE_23f4; common:0x2797=FUN_CODE_2797; common:0x27AB=FUN_CODE_27ab,common:0x2A99 [6/14]; common:0x23F4 [5/14]; common:0x2A35 [5/14] (+22 more called by the cluster's functions),
main-ec-021,main-ec,7,24,0x049F 0x0834 0x0835 0x0836 0x0837 0x0838 0x0839,0x049F-0x0839,11,bank1:0xA750=dispatch_0832_event_bits [dispatch]; bank0:0x924C=set_0838_0839_0832_on_049f_bit2 [state],bank0:0xBB40 [7/11]; bank0:0xA73F [4/11]; bank0:0x8B14 [3/11] (+75 more called by the cluster's functions),0x049F
main-ec-022,main-ec,7,19,0x0366 0x0370 0x0371 0x0372 0x0373 0x0375 0x0377,0x0366-0x0377,2,bank1:0xD61A=FUN_CODE_d61a; bank1:0xD8B9=FUN_CODE_d8b9,bank1:0xD6D7 [1/2]; bank1:0xD6E1 [1/2]; bank1:0x8854 [1/2],
main-ec-023,main-ec,7,19,0x1611 0x1613 0x1616 0x162A 0x162C 0x1659 0x165C,0x1611-0x165C,4,bank0:0xCDC3=FUN_CODE_cdc3; bank0:0x91C5=config_init_from_ba36_ba46 [init]; bank0:0xC03C=set_16xx_40_and_clear_1601_bits_1_3_6 [writer]; bank0:0xC058=clear_1611_1613_and_1616 [writer],bank0:0xBA46 [1/4]; bank0:0x94D0 [1/4]; bank0:0xBA36 [1/4] (+3 more called by the cluster's functions),
main-ec-024,main-ec,6,135,0x1C00 0x1C01 0x1C02 0x1C03 0x1C04 0x1C05,0x1C00-0x1C05,25,bank1:0xC4D2=setup_1c00_block_with_arg_4c [state]; bank1:0xC4F0=poll_1c00_status_up_to_100_cycles [state]; bank1:0xC54C=setup_and_poll_1c00_block_with_arg_48 [state]; bank1:0xE237=gate_1c00_init_defaults [gate]; bank1:0xE2D3=FUN_CODE_e2d3; bank1:0xE3B5=copy_03cd_03ce_03cf_to_1c02_1c04_1c05 [copy]; bank1:0xE490=stage_1c00_block_from_code_table_indexed_03c4 [logic]; bank1:0xDE3C=FUN_CODE_de3c; bank1:0xE100=FUN_CODE_e100; bank0:0xD091=dispatch_on_0860 [dispatch]; bank0:0xD2DA=stage_1c03_1c02_1c01 [writer]; bank1:0x859B=clear_1c04_1c05_set_1c00_ff [state]; bank1:0xE27D=reset_1c00_group_and_toggle_03a0 [state]; bank1:0xE2C3=set_1c00_ff_clear_1c04_1c05 [writer]; bank0:0xD289=clear_0860 [writer]; bank0:0xD28E=copy_0866_86b_to_1c04_1c3a [copy]; bank0:0xD2CB=store_a_to_1c05_then_d2d2 [writer],bank1:0xE2C3 [4/25]; bank1:0xC541 [3/25]; bank1:0xDEC4 [2/25] (+33 more called by the cluster's functions),
main-ec-025,main-ec,6,76,0x0852 0x0853 0x0854 0x1803 0x1805 0x1808,0x0852-0x1808,8,bank0:0xA426=FUN_CODE_a426; bank0:0xA663=gate_0767_06e6_0741_then_dispatch_076f [dispatch]; bank0:0xA678=forward_to_a426 [forwarder]; bank0:0xA747=stage_0769_076e_convert_to_1803 [state]; bank0:0xBB6A=fill_0852_0854_with_ff [writer]; bank0:0xBE21=write_a_to_x1805_and_x1808 [writer],bank0:0xBB11 [3/8]; bank0:0xBA2A [3/8]; bank0:0xBCF5 [3/8] (+18 more called by the cluster's functions),
main-ec-026,main-ec,6,41,0x08E1 0x1904 0x190C 0x1918 0x1919 0x1944,0x08E1-0x1944,13,bank0:0x8294=FUN_CODE_8294; bank0:0x8048=unresolved_midstream_bytes [unresolved]; bank0:0x8054=index_case_00 [writer]; bank0:0x805B=index_table_default; bank0:0x8274=index_table_default [dispatch]; bank0:0xB9DF=copy_x1918_to_x0a57 [copy],bank0:0xB965 [5/13]; bank0:0xBA3E [5/13]; bank0:0xBB99 [5/13] (+19 more called by the cluster's functions),
main-ec-027,main-ec,6,31,0x00D8 0x00D9 0x00DA 0x00DB 0x00DE 0x00DF,0x00D8-0x00DF,5,bank0:0xD389=store_r7_at_d8_advance_index [state]; bank0:0xD358=advance_d9_and_set_1500_20 [state]; bank0:0xD3C8=zero_d0_d7_and_state [writer]; bank0:0xD6D4=xor_00d8_00d9 [math],bank0:0xD6D4 [2/5]; bank0:0xD6DF [2/5]; bank0:0xD358 [1/5] (+1 more called by the cluster's functions),
